No	Message	User Action
31	cho mình hỏi thông tin đối tượng tham gia vì đàn em thân yêu ở trường tiểu học tân hòa đi bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['vì đàn em thân yêu'], 'name_place': ['trường tiểu học tân hòa']}, 'request_slots': {'joiner': 'UNK'}}, None)
32	cho mình hỏi hoạt động tết sum vầy 2017 của công ty bhđ có là loại hoạt động gì vậy	({'intent': 'request', 'inform_slots': {'name_activity': ['tết sum vầy 2017'], 'holder': ['công ty bhđ']}, 'request_slots': {'type_activity': 'UNK'}}, None)
33	cho mình hỏi hãng phim việt tổ chức tết sum vầy phải không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['tết sum vầy'], 'holder': ['hãng phim việt']}, 'request_slots': {'contact': 'UNK'}}, None)
34	cho mình hỏi tết sum vầy muốn tham gia thì đăng ký thế nào	({'intent': 'request', 'inform_slots': {'name_activity': ['tết sum vầy']}, 'request_slots': {'register': 'UNK'}}, None)
35	đi tết sum vầy là mình hỗ trợ những người khó khăn phải không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['tết sum vầy'], 'type_activity': ['hỗ trợ']}, 'request_slots': {'works': 'UNK'}}, {'works': ['người khó khăn']})
36	cho mình hỏi ai thì được đi tết sum vầy của đội ctxh tôn đức thắng vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['tết sum vầy']}, 'request_slots': {'contact': 'UNK'}}, {'contact': ['của đội ctxh']})
37	cho mình hỏi tên đường diễn ra chương trình bốc thăm trúng thưởng đi bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['bốc thăm trúng thưởng'], 'type_activity': ['chương trình']}, 'request_slots': {'address': 'UNK'}}, None)
38	thời gian diễn ra bốc thăm trúng thưởng ở vp đoàn là lúc nào	({'intent': 'request', 'inform_slots': {'name_activity': ['bốc thăm trúng thưởng'], 'name_place': ['vp đoàn']}, 'request_slots': {'time': 'UNK'}}, None)
39	cho mình hỏi bốc thăm trúng thưởng thì được gì vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['bốc thăm trúng thưởng']}, 'request_slots': {'reward': 'UNK'}}, None)
40	cho mình hỏi lễ hội văn hóa ở hội trường a5 được mấy ngày ctxh vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['lễ hội văn hóa'], 'name_place': ['hội trường']}, 'request_slots': {'reward': 'UNK'}}, {'reward': ['5 đ']})
41	cho xin thông tin đăng ký tham gia lễ hội văn hóa ở sân ktx bk đi bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['lễ hội văn hóa'], 'name_place': ['sân ktx bk']}, 'request_slots': {'register': 'UNK'}}, None)
42	lễ hội văn hóa là cho ai tham gia vậy bạn ơi	({'intent': 'request', 'inform_slots': {'name_activity': ['lễ hội văn hóa']}, 'request_slots': {'activity': 'UNK'}}, None)
43	đi lễ hội văn hóa là được 1 ngày ctxh đúng không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['lễ hội văn hóa']}, 'request_slots': {'works': 'UNK'}}, {'works': ['ngày ctxh']})
44	cho mình hỏi nơi diễn ra cse jobfair đi bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['cse jobfair']}, 'request_slots': {'name_place': 'UNK'}}, None)
45	thời gian diễn ra jobfaỉr là ngày mấy vậy	({'intent': 'request', 'inform_slots': {}, 'request_slots': {'time': 'UNK'}}, None)
46	khi tham gia jobfair thì mình được lợi gì	({'intent': 'request', 'inform_slots': {}, 'request_slots': {'reward': 'UNK'}}, None)
47	đăng ký đi jobfair ở đh bách khoa thì làm sao	({'intent': 'request', 'inform_slots': {'name_activity': ['đh bách khoa']}, 'request_slots': {'register': 'UNK'}}, None)
48	sinh viên khoa máy tính được đi jobfair vào ngày 25/11/2017 ở bách khoa phải không bạn	({'intent': 'request', 'inform_slots': {'time': ['vào ngày 25/11/2017'], 'name_place': ['sinh viên khoa', 'bách khoa']}, 'request_slots': {'joiner': 'UNK'}}, {'joiner': ['máy tính']})
49	cho mình hỏi tuyển điều tra viên do depocen tổ chức thì đăng ký như thế nào nhỉ	({'intent': 'request', 'inform_slots': {'name_activity': ['điều tra viên']}, 'request_slots': {'register': 'UNK'}}, None)
50	mình được gì khi tham dự tuyển điều tra viên do depocen tổ chức vậy	({'intent': 'request', 'inform_slots': {'name_activity': ['điều tra viên', 'dự tuyển']}, 'request_slots': {'reward': 'UNK'}}, None)
51	ai có thể tham gia tuyển điều tra viên của depocen thế 	({'intent': 'request', 'inform_slots': {'name_activity': ['điều tra viên']}, 'request_slots': {'contact': 'UNK'}}, None)
52	cho mình xin thông tin liên hệ ngày chủ nhật xanh ở khuôn viên trường nha bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['ngày chủ nhật xanh', 'khuôn viên trường']}, 'request_slots': {'contact': 'UNK'}}, None)
53	ngày chủ nhật xanh của đội ở bãi cỏ cs1 cho những ai tham dự vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['ngày chủ nhật xanh'], 'time': ['bãi cỏ cs1']}, 'request_slots': {'joiner': 'UNK'}}, {'joiner': ['✪ vậy bạn', 'của đội']})
54	đi ngày chủ nhật xanh thì được lợi gì thế	({'intent': 'request', 'inform_slots': {'name_activity': ['ngày chủ nhật xanh']}, 'request_slots': {'reward': 'UNK'}}, None)
55	đăng kí ngày chủ nhật xanh của đội ctxh ở khuôn viên là liên hệ thảo phải không	({'intent': 'request', 'inform_slots': {'name_activity': ['ngày chủ nhật xanh'], 'type_activity': ['đội ctxh']}, 'request_slots': {'register': 'UNK'}}, None)
56	cho mình hỏi đi vòng chung kết rung chuông vàng là mình tới cổ vũ phải không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['rung chuông vàng'], 'type_activity': ['vòng chung kết']}, 'request_slots': {'works': 'UNK'}}, {'works': ['cổ vũ']})
57	khi nào diễn ra vòng loại rung chuông vàng thế	({'intent': 'request', 'inform_slots': {'name_activity': ['rung chuông vàng'], 'type_activity': ['vòng loại']}, 'request_slots': {'time': 'UNK'}}, None)
58	mình là sinh viên thì có được dự vòng chung kết rung chuông vàng không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['rung chuông vàng'], 'type_activity': ['vòng chung kết']}, 'request_slots': {'works': 'UNK'}}, {'works': ['sinh viên ✪ có']})
59	đăng kí jairbreak 2016 là mình dùng đơn để đăng kí phải không vậy	({'intent': 'request', 'inform_slots': {}, 'request_slots': {'register': 'UNK'}}, None)
60	cho mình hỏi tân sinh viên là tham dự tuần sinh hoạt công dân của trường đh lao động xã hội phải không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['tuần sinh hoạt công dân', 'tân sinh viên'], 'holder': ['trường đh lao động xã hội']}, 'request_slots': {'works': 'UNK'}}, None)
61	cho mình hỏi tham dự tuần sinh hoạt công dân ở đh lao động xã hội là mình được trang bị kiến thức gì	({'intent': 'request', 'inform_slots': {'name_activity': ['tuần sinh hoạt công dân'], 'name_place': ['đh lao động xã hội']}, 'request_slots': {'works': 'UNK'}}, None)
